ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
40.5% to 40.7%,3/4/2022 12:00:00 AM,$0.04,$0.07,$0.01,$0.01,17256
41.4% to 41.6%,3/4/2022 12:00:00 AM,$0.17,$0.21,$0.02,$0.04,25078
40.4% or lower,3/4/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,20009
40.8% to 41.0%,3/4/2022 12:00:00 AM,$0.06,$0.12,$0.01,$0.01,25334
41.1% to 41.3%,3/4/2022 12:00:00 AM,$0.11,$0.17,$0.01,$0.02,23652
41.7% to 41.9%,3/4/2022 12:00:00 AM,$0.18,$0.22,$0.05,$0.07,20331
42.0% to 42.2%,3/4/2022 12:00:00 AM,$0.18,$0.19,$0.13,$0.15,11955
42.3% to 42.5%,3/4/2022 12:00:00 AM,$0.14,$0.24,$0.08,$0.21,12991
42.6% or higher,3/4/2022 12:00:00 AM,$0.16,$0.62,$0.10,$0.60,34041
40.5% to 40.7%,3/5/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,976
41.4% to 41.6%,3/5/2022 12:00:00 AM,$0.04,$0.06,$0.03,$0.04,3909
40.4% or lower,3/5/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4263
40.8% to 41.0%,3/5/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3026
41.1% to 41.3%,3/5/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.03,2586
41.7% to 41.9%,3/5/2022 12:00:00 AM,$0.07,$0.08,$0.05,$0.06,3918
42.0% to 42.2%,3/5/2022 12:00:00 AM,$0.15,$0.20,$0.13,$0.17,2251
42.3% to 42.5%,3/5/2022 12:00:00 AM,$0.21,$0.22,$0.20,$0.22,1495
42.6% or higher,3/5/2022 12:00:00 AM,$0.60,$0.64,$0.51,$0.53,5386
40.5% to 40.7%,3/6/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5355
41.4% to 41.6%,3/6/2022 12:00:00 AM,$0.04,$0.15,$0.03,$0.10,6745
40.4% or lower,3/6/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,5602
40.8% to 41.0%,3/6/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,5755
41.1% to 41.3%,3/6/2022 12:00:00 AM,$0.03,$0.07,$0.01,$0.04,5565
41.7% to 41.9%,3/6/2022 12:00:00 AM,$0.06,$0.28,$0.05,$0.18,5876
42.0% to 42.2%,3/6/2022 12:00:00 AM,$0.17,$0.27,$0.14,$0.22,4999
42.3% to 42.5%,3/6/2022 12:00:00 AM,$0.22,$0.25,$0.18,$0.19,5063
42.6% or higher,3/6/2022 12:00:00 AM,$0.53,$0.64,$0.20,$0.29,22924
40.5% to 40.7%,3/7/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3128
41.4% to 41.6%,3/7/2022 12:00:00 AM,$0.10,$0.11,$0.03,$0.09,12100
40.4% or lower,3/7/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1309
40.8% to 41.0%,3/7/2022 12:00:00 AM,$0.01,$0.05,$0.01,$0.02,6900
41.1% to 41.3%,3/7/2022 12:00:00 AM,$0.04,$0.09,$0.01,$0.06,13221
41.7% to 41.9%,3/7/2022 12:00:00 AM,$0.18,$0.22,$0.09,$0.20,9503
42.0% to 42.2%,3/7/2022 12:00:00 AM,$0.22,$0.28,$0.16,$0.24,9622
42.3% to 42.5%,3/7/2022 12:00:00 AM,$0.19,$0.30,$0.17,$0.22,10864
42.6% or higher,3/7/2022 12:00:00 AM,$0.29,$0.64,$0.26,$0.26,28238
40.5% to 40.7%,3/8/2022 12:00:00 AM,$0.01,$0.03,$0.01,$0.01,5245
