ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
39.8% to 40.0%,5/28/2022 12:00:00 AM,$0.16,$0.16,$0.10,$0.15,139
40.4% to 40.6%,5/28/2022 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,310
39.7% or lower,5/28/2022 12:00:00 AM,$0.05,$0.08,$0.05,$0.08,201
40.1% to 40.3%,5/28/2022 12:00:00 AM,$0.20,$0.27,$0.20,$0.27,338
40.7% to 40.9%,5/28/2022 12:00:00 AM,$0.20,$0.22,$0.18,$0.18,173
41.3% to 41.5%,5/28/2022 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,132
41.9% or higher,5/28/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,277
41.0% to 41.2%,5/28/2022 12:00:00 AM,$0.19,$0.19,$0.12,$0.12,169
41.6% to 41.8%,5/28/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,230
39.8% to 40.0%,5/29/2022 12:00:00 AM,$0.15,$0.16,$0.12,$0.15,149
40.4% to 40.6%,5/29/2022 12:00:00 AM,$0.19,$0.21,$0.18,$0.20,104
39.7% or lower,5/29/2022 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,436
40.1% to 40.3%,5/29/2022 12:00:00 AM,$0.27,$0.27,$0.21,$0.25,136
40.7% to 40.9%,5/29/2022 12:00:00 AM,$0.18,$0.20,$0.18,$0.20,78
41.3% to 41.5%,5/29/2022 12:00:00 AM,$0.06,$0.08,$0.06,$0.08,548
41.9% or higher,5/29/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,16
41.0% to 41.2%,5/29/2022 12:00:00 AM,$0.12,$0.15,$0.12,$0.15,43
41.6% to 41.8%,5/29/2022 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,319
39.8% to 40.0%,5/30/2022 12:00:00 AM,$0.15,$0.16,$0.08,$0.10,733
40.4% to 40.6%,5/30/2022 12:00:00 AM,$0.20,$0.28,$0.20,$0.24,624
39.7% or lower,5/30/2022 12:00:00 AM,$0.07,$0.07,$0.03,$0.04,988
40.1% to 40.3%,5/30/2022 12:00:00 AM,$0.25,$0.25,$0.18,$0.22,206
40.7% to 40.9%,5/30/2022 12:00:00 AM,$0.20,$0.23,$0.18,$0.19,449
41.3% to 41.5%,5/30/2022 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,443
41.9% or higher,5/30/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1105
41.0% to 41.2%,5/30/2022 12:00:00 AM,$0.15,$0.17,$0.14,$0.14,199
41.6% to 41.8%,5/30/2022 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1370
39.8% to 40.0%,5/31/2022 12:00:00 AM,$0.10,$0.12,$0.06,$0.07,791
40.4% to 40.6%,5/31/2022 12:00:00 AM,$0.24,$0.29,$0.24,$0.28,313
39.7% or lower,5/31/2022 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,793
40.1% to 40.3%,5/31/2022 12:00:00 AM,$0.22,$0.25,$0.22,$0.22,312
40.7% to 40.9%,5/31/2022 12:00:00 AM,$0.19,$0.24,$0.19,$0.24,357
41.3% to 41.5%,5/31/2022 12:00:00 AM,$0.05,$0.07,$0.05,$0.05,243
41.9% or higher,5/31/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1405
41.0% to 41.2%,5/31/2022 12:00:00 AM,$0.14,$0.14,$0.11,$0.11,761
41.6% to 41.8%,5/31/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,1747
39.8% to 40.0%,6/1/2022 12:00:00 AM,$0.07,$0.28,$0.03,$0.04,7568
40.4% to 40.6%,6/1/2022 12:00:00 AM,$0.28,$0.34,$0.22,$0.30,2156
39.7% or lower,6/1/2022 12:00:00 AM,$0.04,$0.08,$0.01,$0.01,9740
40.1% to 40.3%,6/1/2022 12:00:00 AM,$0.22,$0.39,$0.09,$0.09,6495
40.7% to 40.9%,6/1/2022 12:00:00 AM,$0.24,$0.42,$0.12,$0.36,4558
41.3% to 41.5%,6/1/2022 12:00:00 AM,$0.05,$0.11,$0.02,$0.11,4262
41.9% or higher,6/1/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2105
41.0% to 41.2%,6/1/2022 12:00:00 AM,$0.11,$0.21,$0.04,$0.18,3328
41.6% to 41.8%,6/1/2022 12:00:00 AM,$0.02,$0.04,$0.01,$0.02,3366
39.8% to 40.0%,6/2/2022 12:00:00 AM,$0.04,$0.09,$0.01,$0.01,8652
40.4% to 40.6%,6/2/2022 12:00:00 AM,$0.30,$0.55,$0.25,$0.35,4789
39.7% or lower,6/2/2022 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2409
40.1% to 40.3%,6/2/2022 12:00:00 AM,$0.09,$0.15,$0.02,$0.04,10753
40.7% to 40.9%,6/2/2022 12:00:00 AM,$0.36,$0.62,$0.34,$0.58,10754
41.3% to 41.5%,6/2/2022 12:00:00 AM,$0.11,$0.18,$0.01,$0.01,13785
41.9% or higher,6/2/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5501
41.0% to 41.2%,6/2/2022 12:00:00 AM,$0.18,$0.20,$0.01,$0.06,11358
41.6% to 41.8%,6/2/2022 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,4769
39.8% to 40.0%,6/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1622
40.4% to 40.6%,6/3/2022 12:00:00 AM,$0.35,$0.99,$0.35,$0.99,16486
39.7% or lower,6/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
40.1% to 40.3%,6/3/2022 12:00:00 AM,$0.04,$0.06,$0.01,$0.01,5503
40.7% to 40.9%,6/3/2022 12:00:00 AM,$0.58,$0.59,$0.01,$0.01,8808
41.3% to 41.5%,6/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,954
41.9% or higher,6/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
41.0% to 41.2%,6/3/2022 12:00:00 AM,$0.06,$0.21,$0.01,$0.01,6476
41.6% to 41.8%,6/3/2022 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
